document_id,product,topic,title,source_url,source_kind,language,license_id,license_evidence_url,redistribution_status,enabled
pytorch-005,pytorch,installation,Start locally with PyTorch,https://pytorch.org/get-started/locally/,official_docs,en,BSD-3-Clause,https://github.com/pytorch/pytorch/blob/main/LICENSE,local_snapshot_only,true
vllm-001,vllm,installation,GPU installation,https://docs.vllm.ai/en/latest/getting_started/installation/gpu/,official_docs,en,Apache-2.0,https://github.com/vllm-project/vllm,local_snapshot_only,true
vllm-002,vllm,quickstart,Quickstart,https://docs.vllm.ai/en/latest/getting_started/quickstart/,official_docs,en,Apache-2.0,https://github.com/vllm-project/vllm,local_snapshot_only,true
vllm-003,vllm,serving,OpenAI-compatible server,https://docs.vllm.ai/en/latest/serving/openai_compatible_server/,official_docs,en,Apache-2.0,https://github.com/vllm-project/vllm,local_snapshot_only,true
vllm-004,vllm,memory,Conserving memory,https://docs.vllm.ai/en/latest/configuration/conserving_memory/,official_docs,en,Apache-2.0,https://github.com/vllm-project/vllm,local_snapshot_only,true
vllm-005,vllm,quantization,Quantization,https://docs.vllm.ai/en/latest/features/quantization/,official_docs,en,Apache-2.0,https://github.com/vllm-project/vllm,local_snapshot_only,true
vllm-006,vllm,distributed,Data parallel deployment,https://docs.vllm.ai/en/stable/serving/data_parallel_deployment/,official_docs,en,Apache-2.0,https://github.com/vllm-project/vllm,local_snapshot_only,true
vllm-007,vllm,troubleshooting,Troubleshooting,https://docs.vllm.ai/en/latest/usage/troubleshooting/,official_docs,en,Apache-2.0,https://github.com/vllm-project/vllm,local_snapshot_only,true
fastapi-001,fastapi,deployment,Deployment concepts,https://fastapi.tiangolo.com/deployment/,official_docs,en,MIT,https://github.com/fastapi/fastapi/blob/master/LICENSE,local_snapshot_only,true
fastapi-002,fastapi,deployment,Run a server manually,https://fastapi.tiangolo.com/deployment/manually/,official_docs,en,MIT,https://github.com/fastapi/fastapi/blob/master/LICENSE,local_snapshot_only,true
fastapi-003,fastapi,workers,Server workers,https://fastapi.tiangolo.com/deployment/server-workers/,official_docs,en,MIT,https://github.com/fastapi/fastapi/blob/master/LICENSE,local_snapshot_only,true
fastapi-004,fastapi,docker,FastAPI in containers,https://fastapi.tiangolo.com/deployment/docker/,official_docs,en,MIT,https://github.com/fastapi/fastapi/blob/master/LICENSE,local_snapshot_only,true
fastapi-005,fastapi,async,Concurrency and async await,https://fastapi.tiangolo.com/async/,official_docs,en,MIT,https://github.com/fastapi/fastapi/blob/master/LICENSE,local_snapshot_only,true
fastapi-006,fastapi,errors,Handling errors,https://fastapi.tiangolo.com/tutorial/handling-errors/,official_docs,en,MIT,https://github.com/fastapi/fastapi/blob/master/LICENSE,local_snapshot_only,true
qdrant-001,qdrant,quickstart,Qdrant quickstart,https://qdrant.tech/documentation/quickstart/,official_docs,en,Apache-2.0,https://github.com/qdrant/landing_page,local_snapshot_only,true
qdrant-002,qdrant,collections,Collections,https://qdrant.tech/documentation/concepts/collections/,official_docs,en,Apache-2.0,https://github.com/qdrant/landing_page,local_snapshot_only,true
qdrant-003,qdrant,storage,Storage,https://qdrant.tech/documentation/concepts/storage/,official_docs,en,Apache-2.0,https://github.com/qdrant/landing_page,local_snapshot_only,true
qdrant-004,qdrant,indexing,Indexing,https://qdrant.tech/documentation/concepts/indexing/,official_docs,en,Apache-2.0,https://github.com/qdrant/landing_page,local_snapshot_only,true
qdrant-005,qdrant,deployment,Installation options,https://qdrant.tech/documentation/installation/,official_docs,en,Apache-2.0,https://github.com/qdrant/landing_page,local_snapshot_only,true
qdrant-006,qdrant,distributed,Distributed deployment,https://qdrant.tech/documentation/scaling/distributed_deployment/,official_docs,en,Apache-2.0,https://github.com/qdrant/landing_page,local_snapshot_only,true
k8s-001,kubernetes,debugging,Debug pods,https://kubernetes.io/docs/tasks/debug/debug-application/debug-pods/,official_docs,en,CC-BY-4.0,https://github.com/kubernetes/website,local_snapshot_only,true
k8s-002,kubernetes,debugging,Debug clusters,https://kubernetes.io/docs/tasks/debug/debug-cluster/,official_docs,en,CC-BY-4.0,https://github.com/kubernetes/website,local_snapshot_only,true
k8s-003,kubernetes,lifecycle,Pod lifecycle,https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle/,official_docs,en,CC-BY-4.0,https://github.com/kubernetes/website,local_snapshot_only,true
k8s-004,kubernetes,resources,Resource management for pods and containers,https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/,official_docs,en,CC-BY-4.0,https://github.com/kubernetes/website,local_snapshot_only,true
k8s-005,kubernetes,health,Liveness readiness and startup probes,https://kubernetes.io/docs/concepts/configuration/liveness-readiness-startup-probes/,official_docs,en,CC-BY-4.0,https://github.com/kubernetes/website,local_snapshot_only,true
k8s-006,kubernetes,storage,Persistent volumes,https://kubernetes.io/docs/concepts/storage/persistent-volumes/,official_docs,en,CC-BY-4.0,https://github.com/kubernetes/website,local_snapshot_only,true
k8s-007,kubernetes,images,Container images,https://kubernetes.io/docs/concepts/containers/images/,official_docs,en,CC-BY-4.0,https://github.com/kubernetes/website,local_snapshot_only,true

